Name ,Symbol ,Mass ,Abund.,A,EL,p(A|Z),Z
Aluminum ,Al(27) ,26.981541,100.0,27,Al,1.0,13
Antimony ,Sb(121) ,120.903824,57.3,121,Sb,0.573,51
Antimony ,Sb(123) ,122.904222,42.7,123,Sb,0.42700000000000005,51
Argon ,Ar(36) ,35.967546,0.34,36,Ar,0.0034000000000000002,18
Argon ,Ar(38) ,37.962732,0.063,38,Ar,0.00063,18
Argon ,Ar(40) ,39.962383,99.6,40,Ar,0.996,18
Arsenic ,As(75) ,74.921596,100.0,75,As,1.0,33
Barium ,Ba(130) ,129.906277,0.11,130,Ba,0.0011,56
Barium ,Ba(132) ,131.905042,0.1,132,Ba,0.001,56
Barium,Ba(134) ,133.90449,2.42,134,Ba,0.0242,56
Barium ,Ba(135) ,134.905668,6.59,135,Ba,0.0659,56
Barium ,Ba(136) ,135.904556,7.85,136,Ba,0.0785,56
Barium,Ba(137) ,136.905816,11.23,137,Ba,0.11230000000000001,56
Barium ,Ba(138) ,137.905236,71.7,138,Ba,0.7170000000000001,56
Beryllium ,Be(9) ,9.012183,100.0,9,Be,1.0,4
Bismuth ,Bi(209) ,208.980388,100.0,209,Bi,1.0,83
Boron ,B(10) ,10.012938,19.8,10,B,0.198,5
Boron ,B(11) ,11.009305,80.2,11,B,0.802,5
Bromine ,Br(79) ,78.918336,50.69,79,Br,0.5069,35
Bromine ,Br(81) ,80.91629,49.31,81,Br,0.49310000000000004,35
Calcium ,Ca(40) ,39.962591,96.95,40,Ca,0.9695,20
Calcium ,Ca(42) ,41.958622,0.65,42,Ca,0.006500000000000001,20
Calcium ,Ca(43) ,42.95877,0.14,43,Ca,0.0014000000000000002,20
Calcium ,Ca(44) ,43.955485,2.086,44,Ca,0.02086,20
Calcium ,Ca(46) ,45.953689,0.004,46,Ca,4e-05,20
Calcium ,Ca(48) ,47.952532,0.19,48,Ca,0.0019,20
Cadmium ,Cd(106) ,105.906461,1.25,106,Cd,0.0125,48
Cadmium ,Cd(108) ,107.904186,0.89,108,Cd,0.0089,48
Cadmium ,Cd(110) ,109.903007,12.49,110,Cd,0.1249,48
Cadmium ,Cd(111) ,110.904182,12.8,111,Cd,0.128,48
Cadmium ,Cd(112) ,111.902761,24.13,112,Cd,0.2413,48
Cadmium ,Cd(113) ,112.904401,12.22,113,Cd,0.1222,48
Cadmium ,Cd(114) ,113.903361,28.73,114,Cd,0.2873,48
Cadmium ,Cd(116) ,115.904758,7.49,116,Cd,0.07490000000000001,48
Carbon ,C(12) ,12.0,98.9,12,C,0.9890000000000001,6
Carbon ,C(13) ,13.003355,1.1,13,C,0.011000000000000001,6
Cerium ,Ce(136) ,135.90714,0.19,136,Ce,0.0019,58
Cerium ,Ce(138) ,137.905996,0.25,138,Ce,0.0025,58
Cerium ,Ce(140) ,139.905442,88.48,140,Ce,0.8848,58
Cerium ,Ce(142) ,141.909249,11.08,142,Ce,0.1108,58
Cesium ,Cs(133) ,132.905433,100.0,133,Cs,1.0,55
Chlorine ,Cl(35) ,34.968853,75.77,35,Cl,0.7576999999999999,17
Chlorine ,Cl(37) ,36.965903,24.23,37,Cl,0.24230000000000002,17
Chromium ,Cr(50) ,49.946046,4.35,50,Cr,0.0435,24
Chromium ,Cr(52) ,51.94051,83.79,52,Cr,0.8379000000000001,24
Chromium ,Cr(53) ,52.940651,9.5,53,Cr,0.095,24
Chromium ,Cr(54) ,53.938882,2.36,54,Cr,0.0236,24
Cobalt ,Co(59) ,58.933198,100.0,59,Co,1.0,27
Copper ,Cu(63) ,62.929599,69.17,63,Cu,0.6917,29
Copper ,Cu(65) ,64.927792,30.83,65,Cu,0.30829999999999996,29
Dysprosium ,Dy(156) ,155.924287,0.06,156,Dy,0.0006,66
Dysprosium ,Dy(158) ,157.924412,0.1,158,Dy,0.001,66
Dysprosium ,Dy(160) ,159.925203,2.34,160,Dy,0.023399999999999997,66
Dysprosium ,Dy(161) ,160.926939,18.9,161,Dy,0.18899999999999997,66
Dysprosium ,Dy(162) ,161.926805,25.5,162,Dy,0.255,66
Dysprosium ,Dy(163) ,162.928737,24.9,163,Dy,0.249,66
Dysprosium ,Dy(164) ,163.929183,28.2,164,Dy,0.282,66
Erbium ,Er(162) ,161.928787,0.14,162,Er,0.0014000000000000002,68
Erbium ,Er(164) ,163.929211,1.61,164,Er,0.0161,68
Erbium ,Er(166) ,165.930305,33.6,166,Er,0.336,68
Erbium ,Er(167) ,166.932061,22.95,167,Er,0.22949999999999998,68
Erbium ,Er(168) ,167.932383,26.8,168,Er,0.268,68
Erbium ,Er(170) ,169.935476,14.9,170,Er,0.149,68
Europium ,Eu(151) ,150.91986,47.8,151,Eu,0.478,63
Europium ,Eu(153) ,152.921243,52.2,153,Eu,0.522,63
Fluorine ,F(19) ,18.998403,100.0,19,F,1.0,9
Gallium ,Ga(69) ,68.925581,60.1,69,Ga,0.601,31
Gallium ,Ga(71) ,70.924701,39.9,71,Ga,0.39899999999999997,31
Gadolinium ,Gd(152) ,151.919803,0.2,152,Gd,0.002,64
Gadolinium ,Gd(154) ,153.920876,2.18,154,Gd,0.0218,64
Gadolinium ,Gd(155) ,154.822629,14.8,155,Gd,0.14800000000000002,64
Gadolinium ,Gd(156) ,155.92213,20.47,156,Gd,0.2047,64
Gadolinium ,Gd(157) ,156.923967,15.65,157,Gd,0.1565,64
Gadolinium ,Gd(158) ,157.924111,24.84,158,Gd,0.2484,64
Gadolinium ,Gd(160) ,159.927061,21.86,160,Gd,0.2186,64
Germanium ,Ge(70) ,69.92425,20.5,70,Ge,0.205,32
Germanium ,Ge(72) ,71.92208,27.4,72,Ge,0.27399999999999997,32
Germanium ,Ge(73) ,72.923464,7.8,73,Ge,0.078,32
Germanium ,Ge(74) ,73.921179,36.5,74,Ge,0.365,32
Germanium ,Ge(76) ,75.921403,7.8,76,Ge,0.078,32
Gold ,Au(197) ,196.96656,100.0,197,Au,1.0,79
Hafnium ,Hf(174) ,173.940065,0.16,174,Hf,0.0016,72
Hafnium ,Hf(176) ,175.94142,5.2,176,Hf,0.052000000000000005,72
Hafnium ,Hf(177) ,176.943233,18.6,177,Hf,0.18600000000000003,72
Hafnium ,Hf(178) ,177.94371,27.1,178,Hf,0.271,72
Hafnium ,Hf(179) ,178.945827,13.74,179,Hf,0.1374,72
Hafnium ,Hf(180) ,179.946561,35.2,180,Hf,0.35200000000000004,72
Helium ,He(3) ,3.016029,0.0001,3,He,1e-06,2
Helium ,He(4) ,4.002603,100.0,4,He,1.0,2
